127.0.0.1 - - [29/Jun/2023:10:25:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/ HTTP/1.1" 200 21102
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/owl.carousel.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/fontawesome/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/animate.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/themify-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/flaticon.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/slick.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/magnific-popup.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/gijgo.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/css/nice-select.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/resources/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/jquery-1.12.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/popper.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/resources/js/contact.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/resources/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/jquery.magnific-popup.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/jquery.nice-select.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/masonry.pkgd.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/owl.carousel.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/gijgo.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/jquery.form.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/mail-script.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/jquery.ajaxchimp.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/jquery.validate.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:25:31 +0900] "GET /kisland/js/custom.js HTTP/1.1" 404 721
