127.0.0.1 - - [12/Jul/2023:18:20:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/ HTTP/1.1" 200 21102
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/fontawesome/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/animate.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/themify-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/flaticon.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/owl.carousel.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/magnific-popup.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/gijgo.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/slick.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/nice-select.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/flaticon.css HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/style.css HTTP/1.1" 200 169672
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/animate.css HTTP/1.1" 200 77758
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/font-awesome.min.css HTTP/1.1" 200 27466
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/slick.css HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/magnific-popup.css HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/gijgo.min.css HTTP/1.1" 200 43651
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/swiper.min.css HTTP/1.1" 200 19773
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/style.map HTTP/1.1" 200 202819
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/css/themify-icons.css HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:20:23 +0900] "GET /kisland/resources/js/bootstrap.js HTTP/1.1" 404 721
